ano_eje,mes_eje,nivel_gobierno_nombre,sector_nombre,departamento_ejecutora_nombre,funcion_nombre,fuente_financiamiento_nombre,categoria_gasto_nombre,monto_devengado,tasa_giro
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,SALUD,RECURSOS DETERMINADOS,GASTO CORRIENTE,660.2,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,SALUD,RECURSOS ORDINARIOS,GASTO CORRIENTE,120,0
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,SALUD,RECURSOS ORDINARIOS,GASTO CORRIENTE,10770.95,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,SANEAMIENTO,RECURSOS DETERMINADOS,GASTO CORRIENTE,2500,
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,EDUCACION,RECURSOS ORDINARIOS,GASTO DE CAPITAL,0,
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,SALUD,RECURSOS ORDINARIOS,GASTO CORRIENTE,4751,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,SALUD,RECURSOS ORDINARIOS,GASTO CORRIENTE,3320,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,SALUD,RECURSOS ORDINARIOS,GASTO CORRIENTE,30000,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,ORDEN PUBLICO Y SEGURIDAD,RECURSOS ORDINARIOS,GASTO CORRIENTE,1075.53,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,SALUD,RECURSOS ORDINARIOS,GASTO CORRIENTE,2764.5,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,TRABAJO,DONACIONES Y TRANSFERENCIAS,GASTO CORRIENTE,3800,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,SALUD,RECURSOS ORDINARIOS,GASTO CORRIENTE,53469.5,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,CULTURA Y DEPORTE,RECURSOS DETERMINADOS,GASTO DE CAPITAL,161050.51,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,ORDEN PUBLICO Y SEGURIDAD,RECURSOS DETERMINADOS,GASTO DE CAPITAL,19000,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,AGROPECUARIA,RECURSOS DETERMINADOS,GASTO DE CAPITAL,3000,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,"PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA",RECURSOS DETERMINADOS,GASTO DE CAPITAL,62500,102.24
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,"PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA",RECURSOS ORDINARIOS,GASTO CORRIENTE,5629.01,88.8836580499946
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,SALUD,RECURSOS ORDINARIOS,GASTO CORRIENTE,1499.5,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,SALUD,RECURSOS ORDINARIOS,GASTO CORRIENTE,3431.8,0
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,EDUCACION,RECURSOS ORDINARIOS,GASTO CORRIENTE,27363.62,103.780567044857
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,SALUD,RECURSOS ORDINARIOS,GASTO CORRIENTE,4388.7,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,SALUD,RECURSOS ORDINARIOS,GASTO CORRIENTE,2788,0
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,ORDEN PUBLICO Y SEGURIDAD,RECURSOS ORDINARIOS,GASTO CORRIENTE,85.3,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,TURISMO,RECURSOS ORDINARIOS,GASTO CORRIENTE,194.89,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,TRANSPORTE,RECURSOS ORDINARIOS,GASTO CORRIENTE,18,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,SALUD,RECURSOS ORDINARIOS,GASTO CORRIENTE,208,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,SALUD,RECURSOS ORDINARIOS,GASTO CORRIENTE,9114.19,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,AGROPECUARIA,RECURSOS ORDINARIOS,GASTO CORRIENTE,26600,82.3308270676692
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,SALUD,RECURSOS ORDINARIOS,GASTO CORRIENTE,18280,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,SALUD,RECURSOS ORDINARIOS,GASTO CORRIENTE,5309.5,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,SALUD,RECURSOS ORDINARIOS,GASTO CORRIENTE,458.9,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,SALUD,RECURSOS ORDINARIOS,GASTO CORRIENTE,2515,0
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,TRABAJO,DONACIONES Y TRANSFERENCIAS,GASTO CORRIENTE,0,
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,SALUD,RECURSOS ORDINARIOS,GASTO CORRIENTE,1414.19,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,VIVIENDA Y DESARROLLO URBANO,RECURSOS DETERMINADOS,GASTO CORRIENTE,0,
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,SALUD,RECURSOS ORDINARIOS,GASTO CORRIENTE,370,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,"PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA",RECURSOS ORDINARIOS,GASTO CORRIENTE,3200,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,PESCA,RECURSOS ORDINARIOS,GASTO CORRIENTE,1375,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,INDUSTRIA,RECURSOS ORDINARIOS,GASTO CORRIENTE,0,
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,"PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA",RECURSOS DIRECTAMENTE RECAUDADOS,GASTO CORRIENTE,8000,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,"PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA",RECURSOS ORDINARIOS,GASTO CORRIENTE,11328.38,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,SALUD,RECURSOS ORDINARIOS,GASTO CORRIENTE,214.4,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,AGROPECUARIA,RECURSOS ORDINARIOS,GASTO CORRIENTE,0,
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,EDUCACION,RECURSOS ORDINARIOS,GASTO CORRIENTE,101473.89,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,"PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA",RECURSOS ORDINARIOS,GASTO CORRIENTE,420,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,"PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA",RECURSOS ORDINARIOS,GASTO DE CAPITAL,708.5,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,SALUD,RECURSOS ORDINARIOS,GASTO CORRIENTE,640,78.125
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,SALUD,RECURSOS ORDINARIOS,GASTO DE CAPITAL,0,
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,SALUD,RECURSOS ORDINARIOS,GASTO CORRIENTE,1300,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,SALUD,RECURSOS ORDINARIOS,GASTO CORRIENTE,2940,0
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,SANEAMIENTO,RECURSOS ORDINARIOS,GASTO CORRIENTE,0,
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,PROTECCION SOCIAL,RECURSOS ORDINARIOS,GASTO CORRIENTE,300,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,SALUD,RECURSOS ORDINARIOS,GASTO CORRIENTE,311878.46,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,TRANSPORTE,RECURSOS DIRECTAMENTE RECAUDADOS,GASTO DE CAPITAL,0,
